patch_w,patch_h,patches_per_image,total_patches,patch_vector_length,mean_icv,std_icv,number_of_classes,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
16,16,4753,1425900,256,8.60215595563728,3.569063527626625,4,26,75.0,149,323.15555250000034,"ok; icv_per_class=6.988535,12.722035,11.106354,3.591699; spatial_std_mean=0.205660"
24,16,4361,1308300,384,21.73094609297625,7.590000852032633,4,18,75.0,152,297.79843719999917,"ok; icv_per_class=21.284828,25.628082,9.780688,30.230187; spatial_std_mean=0.264877"
32,20,3645,1093500,640,50.636640729830205,31.376619029384326,4,35,75.0,99,279.1326311999983,"ok; icv_per_class=55.240779,100.083112,25.965386,21.257286; spatial_std_mean=0.244359"
40,24,2993,897900,960,108.84419511407462,81.28381146504057,4,32,75.0,132,265.5055524999989,"ok; icv_per_class=247.762055,58.303064,82.964723,46.346938; spatial_std_mean=0.271852"
48,32,2145,643500,1536,170.7517774229693,54.1546447225575,4,18,75.0,105,218.18037660000118,"ok; icv_per_class=198.111310,214.402963,192.498803,77.994034; spatial_std_mean=0.297656"
56,32,1881,564300,1792,257.3106221894511,102.34513693497603,4,19,75.0,168,225.04396930000075,"ok; icv_per_class=269.019782,167.694752,420.149553,172.378401; spatial_std_mean=0.311018"
64,36,1421,426300,2304,363.9370891637036,189.1811341496172,4,33,75.0,108,177.81809480000084,"ok; icv_per_class=362.522317,658.852946,136.226068,298.147025; spatial_std_mean=0.280581"
72,40,1025,307500,2880,172.62213155508286,67.88852573196928,4,21,75.0,134,127.10304610000094,"ok; icv_per_class=242.373106,185.783604,201.734130,60.597686; spatial_std_mean=0.225513"
80,44,693,207900,3520,227.24448744231935,80.58464622594771,4,54,75.0,89,90.51800460000231,"ok; icv_per_class=354.610770,226.446450,134.439409,193.481321; spatial_std_mean=0.224261"
