dictionary_size,executed_runs,patch_w,patch_h,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds,requested_runs,reduced_seed_count,rank_mean_icv,rank_icv_spread,rank_std_icv,rank_min_class,rank_runtime,balanced_score
2,5,40,24,True,concat,raw,3822,1414140,1920,7644,1478.119384765625,0.0,541.5837755750478,0.0,51.0,51,92.5,150.0,520.9641121200006,38.47574886053378,5,False,1.0,1.0,1.0,1.0,1.0,1.0
4,5,40,24,True,concat,raw,3822,1414140,1920,15288,1582.255633544922,79.30414631134742,716.4019692937304,258.38280858642304,51.6,48,92.5,143.8,746.1044537400005,115.44231336672637,5,False,2.0,2.0,5.0,2.0,3.0,2.7
3,5,40,24,True,concat,raw,3822,1414140,1920,11466,1702.3735565185548,171.60668054290883,805.311099672185,226.46843459772205,49.8,37,92.5,151.2,622.1581497400002,8.211368273431384,5,False,3.0,6.0,6.0,5.0,2.0,4.500000000000001
9,5,40,24,True,concat,raw,3822,1414140,1920,34398,1797.0320281982422,97.65373538918462,548.8704708502539,493.6562031940412,46.0,36,92.5,137.2,1598.3145604199992,119.70032454993448,5,False,8.0,4.0,2.0,6.0,8.0,5.6000000000000005
5,5,40,24,True,concat,raw,3822,1414140,1920,19110,1754.9122039794922,222.53419416606863,628.2835828621595,164.59218165555578,50.4,34,92.5,141.2,872.3379877,81.5114912453118,5,False,6.0,10.0,4.0,7.0,4.0,6.4
7,5,40,24,True,concat,raw,3822,1414140,1920,26754,1720.3525848388672,191.7614544992796,809.630932448592,285.94497390327325,49.0,13,92.5,150.2,1232.8160074999985,121.78369471553827,5,False,4.0,8.0,7.0,9.0,6.0,6.6
10,5,40,24,True,concat,raw,3822,1414140,1920,38220,1758.5911926269532,127.27036680292986,880.5658733342341,444.4521423442861,49.4,40,92.5,131.6,1809.8411948600008,108.37494332401,5,False,7.0,5.0,10.0,3.0,10.0,6.699999999999999
6,5,40,24,True,concat,raw,3822,1414140,1920,22932,1744.9248626708982,184.96437952444003,844.6163279728838,298.2998191115455,46.0,12,92.5,145.4,1063.5061133000024,70.8786207475947,5,False,5.0,7.0,9.0,10.0,5.0,7.2
8,5,40,24,True,concat,raw,3822,1414140,1920,30576,1838.930404663086,97.20153791065496,827.2516894521116,342.2480057146484,43.4,12,92.5,153.0,1395.0915542000002,73.96211896762581,5,False,9.0,3.0,8.0,10.0,7.0,7.6
11,5,40,24,True,concat,raw,3822,1414140,1920,42042,1882.6486740112305,192.3393988423146,616.4995736167555,458.3135910847831,48.4,15,92.5,141.6,1946.3020470799995,202.25240292734145,5,False,10.0,9.0,3.0,8.0,11.0,8.1
12,5,40,24,True,concat,raw,3822,1414140,1920,45864,2069.226957702637,789.4473195284025,1311.7424848873532,823.9810120785429,50.6,40,92.5,132.4,1600.537664959999,250.17816237858756,5,False,11.0,11.0,11.0,3.0,9.0,9.2
