run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,1,SUCCESS,87.185546875,97.713134765625,0.0,35.0,0.0,0.2397260218858719,0.0,0,1,37.641,10.883333333333333,146
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,2,SUCCESS,99.30781555175781,133.67852783203125,0.0,0.0,0.0,0.0,0.024390242993831635,0,0,37.287,10.8,164
C01_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C01_representative,1,SUCCESS,84.70135498046875,127.3218994140625,0.0,0.0,0.0,0.0,0.0,0,0,36.769,10.616666666666667,149
C01_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C01_representative,2,SUCCESS,95.34754943847656,140.62232971191406,0.0,0.0,0.0,0.0,0.02380952425301075,0,0,38.067,10.966666666666667,168
C01_representative__multi_auv_12h__vehicle_specific_conservative__AUV1,vehicle_specific_conservative,C01_representative,1,SUCCESS,90.07405090332031,78.54965209960938,0.0,59.0,0.0,0.3986486494541168,0.0,0,1,37.368,10.816666666666666,148
C01_representative__multi_auv_12h__vehicle_specific_conservative__AUV2,vehicle_specific_conservative,C01_representative,2,SUCCESS,90.60186767578125,79.12980651855469,0.0,72.0,0.0,0.47999998927116394,0.0,0,1,36.852,10.7,150
C01_representative__multi_auv_12h__vehicle_specific_balanced__AUV1,vehicle_specific_balanced,C01_representative,1,SUCCESS,75.66423797607422,124.86854553222656,52.0,0.0,0.3466666638851166,0.0,0.006666666828095913,0,1,36.829,10.616666666666667,150
C01_representative__multi_auv_12h__vehicle_specific_balanced__AUV2,vehicle_specific_balanced,C01_representative,2,SUCCESS,92.31534576416016,77.87401580810547,0.0,87.0,0.0,0.5612903237342834,0.0,0,1,37.275,10.766666666666667,155
C01_representative__multi_auv_12h__vehicle_specific_strong_regime__AUV1,vehicle_specific_strong_regime,C01_representative,1,SUCCESS,62.688812255859375,133.57423400878906,99.0,0.0,0.6265822649002075,0.0,0.0,0,1,36.557,10.45,158
C01_representative__multi_auv_12h__vehicle_specific_strong_regime__AUV2,vehicle_specific_strong_regime,C01_representative,2,SUCCESS,89.02203369140625,77.07887268066406,0.0,91.0,0.0,0.5986841917037964,0.0,0,1,37.809,10.866666666666667,152
